,gene_ids,feature_types,genome
GZMK,ENSG00000113088,Gene Expression,Unknown
HAVCR2,ENSG00000135077,Gene Expression,Unknown
HMGA1,ENSG00000137309,Gene Expression,Unknown
HOOK2,ENSG00000095066,Gene Expression,Unknown
HOXD8,ENSG00000175879,Gene Expression,Unknown
HOXD9,ENSG00000128709,Gene Expression,Unknown
HPX,ENSG00000110169,Gene Expression,Unknown
IGF1,ENSG00000017427,Gene Expression,Unknown
IGSF6,ENSG00000140749,Gene Expression,Unknown
IL2RA,ENSG00000134460,Gene Expression,Unknown
IL2RG,ENSG00000147168,Gene Expression,Unknown
IL3RA,ENSG00000185291,Gene Expression,Unknown
IL7R,ENSG00000168685,Gene Expression,Unknown
ITGAM,ENSG00000169896,Gene Expression,Unknown
ITGAX,ENSG00000140678,Gene Expression,Unknown
ITM2C,ENSG00000135916,Gene Expression,Unknown
JUP,ENSG00000173801,Gene Expression,Unknown
KARS,ENSG00000065427,Gene Expression,Unknown
KDR,ENSG00000128052,Gene Expression,Unknown
KIT,ENSG00000157404,Gene Expression,Unknown
KLF5,ENSG00000102554,Gene Expression,Unknown
KLRB1,ENSG00000111796,Gene Expression,Unknown
KLRC1,ENSG00000134545,Gene Expression,Unknown
KLRD1,ENSG00000134539,Gene Expression,Unknown
KLRF1,ENSG00000150045,Gene Expression,Unknown
KRT14,ENSG00000186847,Gene Expression,Unknown
KRT23,ENSG00000108244,Gene Expression,Unknown
KRT5,ENSG00000186081,Gene Expression,Unknown
KRT6B,ENSG00000185479,Gene Expression,Unknown
KRT7,ENSG00000135480,Gene Expression,Unknown
KRT8,ENSG00000170421,Gene Expression,Unknown
LAG3,ENSG00000089692,Gene Expression,Unknown
LARS,ENSG00000133706,Gene Expression,Unknown
LDHB,ENSG00000111716,Gene Expression,Unknown
LGALSL,ENSG00000119862,Gene Expression,Unknown
LILRA4,ENSG00000239961,Gene Expression,Unknown
LPL,ENSG00000175445,Gene Expression,Unknown
LPXN,ENSG00000110031,Gene Expression,Unknown
LRRC15,ENSG00000172061,Gene Expression,Unknown
LTB,ENSG00000227507,Gene Expression,Unknown
LUM,ENSG00000139329,Gene Expression,Unknown
LY86,ENSG00000112799,Gene Expression,Unknown
LYPD3,ENSG00000124466,Gene Expression,Unknown
LYZ,ENSG00000090382,Gene Expression,Unknown
MAP3K8,ENSG00000107968,Gene Expression,Unknown
MDM2,ENSG00000135679,Gene Expression,Unknown
MKI67,ENSG00000148773,Gene Expression,Unknown
MLPH,ENSG00000115648,Gene Expression,Unknown
MMP1,ENSG00000196611,Gene Expression,Unknown
MMP12,ENSG00000262406,Gene Expression,Unknown
MMP2,ENSG00000087245,Gene Expression,Unknown
MMRN2,ENSG00000173269,Gene Expression,Unknown
MNDA,ENSG00000163563,Gene Expression,Unknown
MRC1,ENSG00000260314,Gene Expression,Unknown
MS4A1,ENSG00000156738,Gene Expression,Unknown
MUC6,ENSG00000184956,Gene Expression,Unknown
MYBPC1,ENSG00000196091,Gene Expression,Unknown
MYH11,ENSG00000133392,Gene Expression,Unknown
MYLK,ENSG00000065534,Gene Expression,Unknown
MYO5B,ENSG00000167306,Gene Expression,Unknown
MZB1,ENSG00000170476,Gene Expression,Unknown
NARS,ENSG00000134440,Gene Expression,Unknown
NCAM1,ENSG00000149294,Gene Expression,Unknown
NDUFA4L2,ENSG00000185633,Gene Expression,Unknown
NKG7,ENSG00000105374,Gene Expression,Unknown
NOSTRIN,ENSG00000163072,Gene Expression,Unknown
OCIAD2,ENSG00000145247,Gene Expression,Unknown
OPRPN,ENSG00000171199,Gene Expression,Unknown
OXTR,ENSG00000180914,Gene Expression,Unknown
PCLAF,ENSG00000166803,Gene Expression,Unknown
PDCD1,ENSG00000188389,Gene Expression,Unknown
PDCD1LG2,ENSG00000197646,Gene Expression,Unknown
PDE4A,ENSG00000065989,Gene Expression,Unknown
PDGFRA,ENSG00000134853,Gene Expression,Unknown
PDGFRB,ENSG00000113721,Gene Expression,Unknown
PDK4,ENSG00000004799,Gene Expression,Unknown
PECAM1,ENSG00000261371,Gene Expression,Unknown
PELI1,ENSG00000197329,Gene Expression,Unknown
PGR,ENSG00000082175,Gene Expression,Unknown
PIGR,ENSG00000162896,Gene Expression,Unknown
PIM1,ENSG00000137193,Gene Expression,Unknown
PLD4,ENSG00000166428,Gene Expression,Unknown
POSTN,ENSG00000133110,Gene Expression,Unknown
PPARG,ENSG00000132170,Gene Expression,Unknown
PRDM1,ENSG00000057657,Gene Expression,Unknown
PRF1,ENSG00000180644,Gene Expression,Unknown
PTGDS,ENSG00000107317,Gene Expression,Unknown
PTN,ENSG00000105894,Gene Expression,Unknown
PTPRC,ENSG00000081237,Gene Expression,Unknown
PTRHD1,ENSG00000184924,Gene Expression,Unknown
QARS,ENSG00000172053,Gene Expression,Unknown
RAB30,ENSG00000137502,Gene Expression,Unknown
RAMP2,ENSG00000131477,Gene Expression,Unknown
RAPGEF3,ENSG00000079337,Gene Expression,Unknown
RHOH,ENSG00000168421,Gene Expression,Unknown
RORC,ENSG00000143365,Gene Expression,Unknown
RTKN2,ENSG00000182010,Gene Expression,Unknown
RUNX1,ENSG00000159216,Gene Expression,Unknown
S100A14,ENSG00000189334,Gene Expression,Unknown
S100A4,ENSG00000196154,Gene Expression,Unknown
S100A8,ENSG00000143546,Gene Expression,Unknown
SCD,ENSG00000099194,Gene Expression,Unknown
SCGB2A1,ENSG00000124939,Gene Expression,Unknown
SDC4,ENSG00000124145,Gene Expression,Unknown
SEC11C,ENSG00000166562,Gene Expression,Unknown
SEC24A,ENSG00000113615,Gene Expression,Unknown
SELL,ENSG00000188404,Gene Expression,Unknown
SERHL2,ENSG00000183569,Gene Expression,Unknown
SERPINA3,ENSG00000196136,Gene Expression,Unknown
SERPINB9,ENSG00000170542,Gene Expression,Unknown
SFRP1,ENSG00000104332,Gene Expression,Unknown
SFRP4,ENSG00000106483,Gene Expression,Unknown
SH3YL1,ENSG00000035115,Gene Expression,Unknown
SLAMF1,ENSG00000117090,Gene Expression,Unknown
SLAMF7,ENSG00000026751,Gene Expression,Unknown
SLC25A37,ENSG00000147454,Gene Expression,Unknown
SLC5A6,ENSG00000138074,Gene Expression,Unknown
SMAP2,ENSG00000084070,Gene Expression,Unknown
SMS,ENSG00000102172,Gene Expression,Unknown
SNAI1,ENSG00000124216,Gene Expression,Unknown
SOX17,ENSG00000164736,Gene Expression,Unknown
SOX18,ENSG00000203883,Gene Expression,Unknown
SPIB,ENSG00000269404,Gene Expression,Unknown
SQLE,ENSG00000104549,Gene Expression,Unknown
SRPK1,ENSG00000096063,Gene Expression,Unknown
SSTR2,ENSG00000180616,Gene Expression,Unknown
STC1,ENSG00000159167,Gene Expression,Unknown
SVIL,ENSG00000197321,Gene Expression,Unknown
TAC1,ENSG00000006128,Gene Expression,Unknown
TACSTD2,ENSG00000184292,Gene Expression,Unknown
TCEAL7,ENSG00000182916,Gene Expression,Unknown
TCF4,ENSG00000196628,Gene Expression,Unknown
TCF7,ENSG00000081059,Gene Expression,Unknown
TCIM,ENSG00000176907,Gene Expression,Unknown
TCL1A,ENSG00000100721,Gene Expression,Unknown
TENT5C,ENSG00000183508,Gene Expression,Unknown
TFAP2A,ENSG00000137203,Gene Expression,Unknown
THAP2,ENSG00000173451,Gene Expression,Unknown
TIFA,ENSG00000145365,Gene Expression,Unknown
TIGIT,ENSG00000181847,Gene Expression,Unknown
TIMP4,ENSG00000157150,Gene Expression,Unknown
TMEM147,ENSG00000105677,Gene Expression,Unknown
TNFRSF17,ENSG00000048462,Gene Expression,Unknown
TOMM7,ENSG00000196683,Gene Expression,Unknown
TOP2A,ENSG00000131747,Gene Expression,Unknown
TPD52,ENSG00000076554,Gene Expression,Unknown
TPSAB1,ENSG00000172236,Gene Expression,Unknown
TRAC,ENSG00000277734,Gene Expression,Unknown
TRAF4,ENSG00000076604,Gene Expression,Unknown
TRAPPC3,ENSG00000054116,Gene Expression,Unknown
TRIB1,ENSG00000173334,Gene Expression,Unknown
TUBA4A,ENSG00000127824,Gene Expression,Unknown
TUBB2B,ENSG00000137285,Gene Expression,Unknown
UCP1,ENSG00000109424,Gene Expression,Unknown
USP53,ENSG00000145390,Gene Expression,Unknown
VOPP1,ENSG00000154978,Gene Expression,Unknown
VWF,ENSG00000110799,Gene Expression,Unknown
WARS,ENSG00000140105,Gene Expression,Unknown
ZEB1,ENSG00000148516,Gene Expression,Unknown
ZEB2,ENSG00000169554,Gene Expression,Unknown
ZNF562,ENSG00000171466,Gene Expression,Unknown
